EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:35:26,,0:38:25,,"Jessica saying ""He helped me with the Salinger situation."" up to Trish leaving and Jessica sighing",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:13:58,,0:16:18,,Flashback: In slow motion: Trish walking through the hospital up to Trish leaving Salinger's hospital room,,,,,,,,,,,
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:38:26,,0:38:35,,Jessica cleaning the bathtub,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:16:19,,0:16:48,,Flashback: Trish exiting an elevator up to the officer nodding and Trish stepping forward,,,,,,,,,,,
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:38:36,,0:39:33,,"The officer letting Trish into her apartment up to Jessica narrating ""I did something today. I set a murderer free.""",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:16:49,,0:17:12,,Flashback: Trish looking at the bloody chair up to Trish looking at the photo albums on the shelf,,,,,,,,,,,
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:39:34,,0:40:15,,"Trish taking down a photo album up to Jessica narrating ""Trish needed a hero. She got me."" and staring straight ahead",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:18:41,,0:19:48,,"Flashback: Trish flipping through a photo album up to Trish saying ""Thank you, Omar.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Knocking comes in early at 0:19:48.,,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:16:32,,0:17:59,,Pilgrim's phone ringing up to Pilgrim putting his gun in his hotel neighbor's face and entering the room,,,,,,,,,,,
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:40:16,,0:42:43,,"Exterior of Hogarth & Associates, Malcolm entering Jeri's office up to Malcolm leaving",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:19:49,,0:23:06,,"Flashback: Trish knocking on Erik's door up to Erik saying ""Oh, you mean now."" and Erik walking past Trish",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Trish's knocking occurs at 0:19:48.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Patsy's dialogue comes in early at 0:23:06.,,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:20:40,,0:22:40,,"Pilgrim saying ""Look, I don't understand brotherhood."" up to the prostitute leaving Pilgrim's room",,,,,,,,,,,
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:42:44,,0:48:04,,Jessica sitting at her desk looking at the Edgecombe Funeral Home website up to Trish identifying Dorothy's body at the morgue,,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:02:14,,0:08:31,,NOTE: 2.10 is told non-chronologically. It periodically cuts back to Madani and Dumont's conversation about Castle and Russo. This conversation repeatedly plays overtop of scenes with Castle and Russo that happen at different times. Because of this only the scenes involving Pilgrim were able to be placed chronologically. The rest of the episode plays out as it was originally edited. These clips are placed based on the ending of the episode.,,,,,,,,,,,
,,,,,,,,,,,,,,"Rooftop, Castle saying ""Marine salvage, huh? She said that?"" up to flashing masks",,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:14:55,,0:16:31,,"Madani repositioning herself, asking ""You think Billy can still be helped?"" up to Castle seeing Russo's men using an underground entrance",,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:18:00,,0:20:34,,"Curtis on the phone pretending to be ill up to Castle saying ""That's the thing with Bill. He's always alone.""",,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:22:41,,0:26:37,,"Rooftop at night, Curtis looking through his scope up to Pilgrim daydreaming about his wife and his phone ringing",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:23:40,,0:27:32,,"Flashback: Exterior of a wearhouse, Erik removing a phone from it's packaging up to Erik and Trish leaving Nussbaumer's body",,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:26:38,,0:34:16,,"Madani looking at Dumont's degree, asking ""Did you always want to work with people like Billy?"" up to Curtis seeing vehicles leaving the hideout",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:33:42,,0:33:45,,Flashback: In slow motion: Three girls being shot and killed,,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:33:56,,0:33:59,,Flashback: The same three girls being shot and killed up to a blood splattered filing cabinet,,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:34:06,,0:34:27,,Flashback: Russo standing over the bodies of the girls,,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:34:39,,0:34:58,,Flashback: Russo picking up the shell casings,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The medical examiner's dialogue comes in early at 0:34:58.,,,,,,,,,,,
,The Punisher,,,,2.10,The Dark Hearts of Men,,,,0:34:17,,0:45:12,,Russo's crew grabbing their masks up to the end of the episode,,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:00:18,,0:13:23,,Up to Karen sitting next to Castle,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:00,,,,,,,,,,,
,Jessica Jones,,,,3.09,A.K.A. I Did Something Today,,,,0:48:05,,0:49:39,,Jessica waking up to knocking on her door up to the end of the episode,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:01:29,,0:02:14,,"Up to the funeral director saying ""I'll recommend a closed casket."" and zipping up Dorothy's body bag",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:13:24,,0:16:33,,"The NYPD documenting the crime scene, Madani arriving up to Mahoney leaving Madani",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:02:15,,0:04:55,,"Exterior of Jessica's apartment building, Jessica's phone vibrating up to the exterior of Edgecombe Funeral Home",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:27:33,,0:28:16,,"Flashback: Trish being guided through the funeral home up to Trish looking at her phone and saying ""What person of interest? Shit.""",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:04:56,,0:07:01,,"Jessica arriving at the funeral home and greeting Trish up to the funeral director saying ""Uh, well, she went with the Senator. An outstanding choice.""",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:28:31,,0:29:37,,"Flashback: Trish exiting the funeral home up to Trish saying ""Because I know her. She would never kill a cop for no reason.""",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:07:02,,0:08:38,,Jessica exiting Edgecombe Funeral Home up to Jessica texting Erik,,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:16:34,,0:33:41,,"Castle laying in his hospital bed dreaming about his family up to the medical examiner saying ""So, the shooter was only a few feet from the victims?""",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:33:46,,0:33:55,,"Madani asking ""What was the trajectory of the entry wounds?"" up to the medical examiner saying ""Looks to me, someone stood right in front of this girl and unloaded right into her.""",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:34:00,,0:34:05,,"Madani asking ""And that's the same with all three?"" up to Madani saying ""Okay, then I've seen enough.""",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:34:28,,0:34:38,,"The medical examiner pushing the body tray back in up to Karen saying ""Okay, tell me that means Frank didn't kill them."" and Madani replying ""Yes.""",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:34:59,,0:39:58,,"The medical examiner asking ""Anything else I can help you pretty ladies with?"" up to Dumont saying ""He needed help. He needed someone to save him, but there was no one there. And now, I have my scars and I have my memories.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The medical examiner's dialogue begins at 0:34:58.,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:08:39,,0:11:21,,"Exterior of Hogarth & Associates, Kith entering Jeri's office up to Jeri's assistant leaving her office",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:39:59,,0:42:39,,"Eliza Schultz saying ""Rebecca was like a daughter to me. You are like a son."" up to Pilgrim picking up his ring",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:29:52,,0:31:49,,"Flashback: Trish entering Erik's apartment up to Erik saying ""I'll go find us another asshole."" and Trish tilting her head back",,,,,,,,,,,
,The Punisher,,,,2.11,The Abyss,,,,0:42:40,,0:52:23,,Officer O'Rourke replacing Officer Lawrence outside Castle's hospital room up to the end of the episode,,,,,,,,,,,
,The Punisher,,,,2.12,Collision Course,,,,0:00:14,,0:36:21,,Up to Amy stopping outside Pilgrim's hotel room,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Title at 0:04:02,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Knocking comes in early at 0:36:21.,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:11:22,,0:14:49,,Detectives Imada and Defford staking out Jessica's apartment building up to Erik leaving Jessica's apartment,,,,,,,,,,,
,The Punisher,,,,2.12,Collision Course,,,,0:36:22,,0:47:43,,Dumont hearing knocking on her door up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Knocking occurs at 0:36:21.,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Go to Hell"" by Star Anna begins at 0:46:27.",,,,,,,,,,,
,The Punisher,,,,2.13,The Whirlwind,,,,0:00:14,,0:45:37,,Up to Mahoney leaving,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:01:52,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:14:50,,0:24:43,,"Shot of a New York bridge, Jessica leaving her apartment up to Zaya leaving Malcolm's apartment",,,,,,,,,,,
,The Punisher,,,,2.13,The Whirlwind,,,,0:45:38,,0:49:26,,Anderson and Eliza Schultz eating dinner up to Pilgrim walking around the front of the SUV,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:24:44,,0:30:49,,Imada and Defford staking out Jessica's apartment building up to Jessica leaving Erik's apartment,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:33:40,,0:35:56,,Flashback: Trish standing on the sidewalk looking at a file up to Erik walking away,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Audience laughter comes in early at 0:35:56.,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:30:50,,0:35:04,,"Exterior of Jessica's apartment building, Gillian resting her chin on her hands up to Jeri looking looking at a photo of Trish's reflection on her iPad",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:37:10,,0:40:05,,Flashback: Trish finishing her hair and looking in the mirror up to Jeri leaving Trish's apartment,,,,,,,,,,,
,The Punisher,,,,2.13,The Whirlwind,,,,0:49:27,,0:52:55,,Amy and Castle sitting in a bus station up to Amy getting on a bus,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:35:05,,0:44:41,,"Jessica on her phone, asking ""What have you got?"" up to Trish saying ""She would want you to do whatever you can with what you've been given.""",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:40:06,,0:40:34,,"Flashback: Funeral attendees gathered outside Edgecombe Funeral Home, Trish exiting the building up to Defford asking ""Where's your sister?"" and Trish looking around",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Trish's dialogue comes in early at 0:40:34.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.14,The Devil Complex,,,,0:00:56,,0:02:53,,"Up to Jemma shooting the astronaut, the astronaut dematerializing and Fitz sitting up",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:44:42,,0:45:31,,"Shot of New York, Trish narrating ""My mom was intense and aggravating. ... Mom didn't want to hear about failure."" up to the camera circling behind Jessica",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Trish's narration continues into the next 3.10 clip.,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:40:35,,0:41:11,,"Flashback: Trish on the phone, saying ""They have a warrant out for her arrest."" up to Trish hanging up on Erik",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Trish's dialogue begins at 0:40:34.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.14,The Devil Complex,,,,0:02:59,,0:42:02,,Yo-Yo practicing mentally controlling a robot arm up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:47,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:45:32,,0:46:00,,The camera circling in front of Jessica up to Jessica beginning to follow Trish,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Trish's narration continues from the previous 3.10 clip.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.15,Rise and Shine,,,,0:25:10,,0:26:21,,Flashback: Coulson waking up up to Coulson taking cereal back to his room and Ruby turning around,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:41:12,,0:42:06,,NOTE: This sequence shows Trish's (3.11) and Jessica's (3.10) perspectives. Because of the intercutting some moments have been extended.,,,,,,,,,,,
,,,,,,,,,,,,,,Flashback: Trish walking down the sidewalk up to Erik calling 911,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:46:01,,0:46:18,,Jessica following Trish from the other side of the street up to Jessica crossing the street ,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:42:07,,0:42:21,,Flashback: Trish crossing the street,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:46:19,,0:46:31,,Trish walking down the sidewalk up to police cars stopping in front of Jessica,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:42:28,,0:42:30,,Flashback: Police cars stopping in front of Jessica and Trish turning her head to the side,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:46:32,,0:47:02,,"Jessica saying ""Shit."" up to Jessica being handcuffed",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.15,Rise and Shine,,,,0:26:22,,0:34:22,,Flashback: Coulson eating cereal in his room up to Talbot being dragged away and Ruby closing the door to Coulson's room,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:03,,0:47:12,,"A puddle, a train going by",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:42:40,,0:43:22,,NOTE: This sequence shows Trish's (3.11) and Erik's (3.10) perspectives. Because of the intercutting some moments have been extended.,,,,,,,,,,,
,,,,,,,,,,,,,,"Flashback: Exterior of the general contractor's office up to Trish shouting ""Admit what you did!""",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:14,,0:47:17,,Erik turning to look back at the general contractor's office,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:43:23,,0:43:26,,"Flashback: Trish yelling ""You set fires! Say it!"" and kicking Montero",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:18,,0:47:19,,Erik looking at the general contractor's office,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:43:27,,0:43:30,,"Flashback: Montero slamming into a bookshelf full of binders up to Montero gasping ""I set fires.""",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:20,,0:47:30,,Erik moving closer to the general contractor's office up to Erik standing next to a car and looking at the general contractor's office,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:43:31,,0:43:34,,"Flashback: Trish saying ""All of it!"" and kneeing Montero in the stomach up to Montero saying ""Somebody --!""",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:37,,0:47:38,,"Montero continuing to say ""-- help me!"" and Erik putting his hands to his face",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:43:35,,0:43:38,,Flashback: Montero grabbing a golf club up to Trish kicking Montero over his desk,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:38,,0:47:44,,"Erik hearing Montero land on the floor up to Erik saying ""Jesus.""",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:43:40,,0:43:55,,"Flashback: Trish asking ""How many died?"" up to Trish throwing Montero against a door and Montero gasping ""Who?""",,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:31,,0:47:33,,"Erik standing outside (wide shot, camera behind him)",,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:44:00,,0:44:24,,Flashback: Erik standing outside (camera in front of him) up to Trish seeing Salinger's face and punching the side of Montero's head,,,,,,,,,,,
,Jessica Jones,,,,3.10,A.K.A. Hero Pants,,,,0:47:45,,0:47:52,,Erik running up and opening the door,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:44:25,,0:46:14,,"Flashback: Trish punching Montero, Erik saying ""Oh my god."" up to the end of the episode",,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:01:29,,0:05:19,,"Up to Erik asking ""You want my help?"" and Jessica replying ""No. But you owe me.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.15,Rise and Shine,,,,0:34:28,,0:42:51,,NOTE 1: This episode is mostly flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"May saying ""Daisy."" and Daisy opening her eyes up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: May's dialogue begins at 0:34:27.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 3: S.H.I.E.L.D. logo at 0:40:34,,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:05:20,,0:11:45,,"Exterior of a hospital, Salinger walking through the hospital up to Jessica leaving Jeri's office",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.16,Inside Voices,,,,0:01:05,,0:40:37,,NOTE: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,Up to Coulson and Talbot walking through a snowy forest near a mountain,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:54,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.17,The Honeymoon,,,,0:01:07,,0:39:05,,"Up to Ruby and Strucker threatening Jemma and Fitz if they don't fix the infuser and Fitz saying ""We don't have a choice. We never did.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:34,,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:11:46,,0:13:44,,"Erik knocking on Malcolm's door and Malcolm opening it up to Erik saying ""And Jessica is paying you a shit-ton of money. It's her words, not mine. So do your job. Again, her words, not mine."" and Malcolm looking a t him",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.17,The Honeymoon,,,,0:39:11,,0:41:18,,Talbot looking at his file on a tablet up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.18,All Roads Lead,,,,0:00:52,,0:03:14,,"Up to Mack saying ""Well, rest up. Doctor's orders."" and Talbot walking away from him",,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:13:45,,0:17:19,,Jessica looking through binoculars up to Jessica leaving Salinger's apartment,,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,1:46:05,,1:46:52,,"Scott, Hope and Cassie pretending to be at a drive-in theater, watching Them! on a laptop up to the end of the movie",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 2: ""Come On Get Happy - The Partridge Family Theme"" by David Cassidy ends at 1:46:07.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.18,All Roads Lead,,,,0:03:20,,0:22:37,,"Fitz working on fixing the infuser up to Talbot saying ""You're coming with me."" and Robin saying ""I know.""",,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:17:20,,0:19:13,,"Exterior of Trish's apartment building, Trish waking up up to Malcolm asking ""Do you ever miss the person you used to be?"" and Trish sighing",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.18,All Roads Lead,,,,0:22:40,,0:39:23,,"The Zephyr landing up to Yo-Yo saying ""I just saved the world."" and Yo-Yo's chin quivering slightly",,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:19:14,,0:33:46,,"Erik entering a bar up to Erik punching Salinger and saying ""Kinda. Yeah.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Phone ringing comes in early at 0:33:46.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.18,All Roads Lead,,,,0:39:29,,0:40:26,,"Alien text, Hale arriving in the Confederacy meeting room up to the end of the episode",,,,,,,,,,,
,Jessica Jones,,,,3.12,A.K.A. A Lotta Worms,,,,0:33:47,,0:47:01,,Costa answering his phone up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Costa's phone ringing begins at 0:33:46.,,,,,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,2:13:55,,2:14:21,,Third mid-credits scene: Quill entering Groot's room,,,,,,,,,,,
,Jessica Jones,,,,3.13,A.K.A. Everything,,,,0:01:32,,0:16:13,,"Up to Jessica saying ""'Cause if I'm right, that means she's become the exact thing that she hates the most.""",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,1:00:00,,1:01:25,,NOTE: This reality has not been given a designation.,,,,,,,,,,,EARTH-?
,,,,,,,,,,,,,,Barton arriving at his farmhouse after time traveling up to Barton time traveling again and Lila looking around for him,,,,,,,,,,,
,Jessica Jones,,,,3.13,A.K.A. Everything,,,,0:16:14,,0:49:09,,"Exterior of Demetri Patseras' house, Trish throwing Patseras into a bookshelf up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: ""Keep on Livin'"" by Le Tigre begins at 0:48:29.",,,,,,,,,,,
,Thor: Ragnarok,,,,,,,,,2:02:38,,2:03:21,,Mid-credits scene: The Sanctuary II approaching the Statesman,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:00:48,,0:35:46,,NOTE: This movie contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"Up to Rocket, Thor and Groot leaving the Guardians",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The Asgardian distress transmission begins at 0:00:26.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.19,Option Two,,,,0:00:55,,0:42:00,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:08:41 and S.H.I.E.L.D. logo at 0:41:24,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.20,The One Who Will Save Us All,,,,0:01:01,,0:26:15,,"Up to Mack saying to Fitz ""You need to look inside yourself and figure out what kind of man you want to be, 'cause lately what you've been, it needs fixing."" and Mack walking away",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:11,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:35:47,,0:36:37,,Vision opening the drapes up to Wanda and Vision kissing,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.20,The One Who Will Save Us All,,,,0:26:16,,0:29:42,,"Jemma inspecting a Remorath heart up to Taryan saying to Talbot ""But perhaps there might still be a way.""",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:36:38,,0:41:57,,"Wanda and Vision walking across a street up to Vision saying ""Thank you, Captain."" and Steve replying ""Let's get you on the jet.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.20,The One Who Will Save Us All,,,,0:29:42,,0:35:09,,"Hale saying to Coulson ""Astronauts say the view of Earth from space changes you."" up to the Zephyr turning on cloaking",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:41:58,,0:42:20,,"Quinjet taking off up to Steve saying ""Home.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.20,The One Who Will Save Us All,,,,0:35:10,,0:41:35,,Fitz looking at the Zephyr flight path on a tablet up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:55,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.21,The Force of Gravity,,,,0:00:42,,0:18:35,,"Up to Mack saying ""If it comes to that, I'm the one who does it. Understood?"" and Yo-Yo following him",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:07:33,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:44:25,,0:47:04,,"Gamora activating her switchblade up to Mantis saying ""Hi, Drax."" and Drax leaving",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.21,The Force of Gravity,,,,0:18:36,,0:21:26,,"Daisy being dragged down a hallway up to Jemma saying ""We could use the Centipede Serum to deliver it straight into his cells."" and Jemma and Fitz looking at the Centipede Device",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:47:05,,0:54:02,,The Benatar approaching Knowhere up to Quill picking up Gamora's sword and Knowhere burning,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.21,The Force of Gravity,,,,0:21:27,,0:24:03,,"Coulson, May and Deke peeking into a hallway up to Yo-Yo saying ""... Maybe he's trying to prove that he's still a good soldier? A good man."" and Mack replying ""A good dad.""",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:54:03,,0:58:30,,"Quinjet landing at the New Avengers Facility up to Steve saying ""I know somewhere.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.21,The Force of Gravity,,,,0:24:04,,0:39:19,,George playing with Lego and Carla watching the news up to Coulson collapsing,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:58:31,,0:59:32,,Wakandan panther statue up to T'Challa delivering a new arm to Bucky,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.21,The Force of Gravity,,,,0:39:20,,0:42:20,,Exterior of the Lighthouse up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:41:06,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.22,The End,,,,0:00:44,,0:05:55,,"Up to Talbot holding up a globe and saying to Robin ""Just one little dot.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:04:14,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:59:33,,1:05:02,,Ebony Maw torturing Strange up to Stark making Peter an Avenger,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.22,The End,,,,0:05:56,,0:15:17,,"Mack approaching Yo-Yo up to Mack saying ""We save lives.""",,,,,,,,,,,
